Time,Parking,SLAC-1,SLAC-2,VA-1,VA-2,
0.590,-0.1384,-7.2600,-5.3600,0.1290,1.4100,,,
0.595,-0.1207,-8.0100,-7.8400,-0.4700,2.3000,,,
0.600,-0.1011,-8.2200,-8.5300,-0.0313,0.8900,,,
0.605,-0.0864,-7.4100,-8.2700,-0.2970,0.5480,,,
0.610,-0.0726,-8.7900,-7.5000,-1.1000,0.0434,,,
0.615,-0.0520,-8.5300,-6.9200,-0.8720,-1.2800,,,
0.620,-0.0334,-5.0200,-6.0300,-1.1800,-1.4300,,,
0.625,-0.0216,-5.2300,-3.7300,-1.7100,-2.9700,,,
0.630,-0.0157,-4.8300,-2.9800,-1.5900,-4.2900,,,
0.635,-0.0118,-3.4000,-2.2200,-1.9000,-4.2100,,,
0.640,-0.0108,-1.8100,-1.4600,-2.2600,-4.4100,,,
0.645,-0.0186,-0.1410,-0.4570,-2.8500,-4.8400,,,
0.650,-0.0314,1.2700,-1.2800,-2.9200,-5.5400,,,
0.655,-0.0501,2.3000,-0.0165,-2.5300,-5.6200,,,
0.660,-0.0785,2.4200,2.8100,-2.2700,-4.8900,,,
0.665,-0.1178,3.3900,1.7400,-2.0500,-4.5000,,,
0.670,-0.1688,3.0000,3.3800,-1.8400,-3.8400,,,
0.675,-0.2267,1.6600,4.2000,-1.1600,-2.6500,,,
0.680,-0.2905,1.8400,1.8700,-0.9250,-2.1500,,,
0.685,-0.3553,3.2300,1.1700,-0.8660,-1.7400,,,
0.690,-0.4201,2.2100,1.8500,-0.6230,-1.0700,,,
0.695,-0.4799,0.8370,1.1500,0.1640,-0.9010,,,
0.700,-0.5329,2.2400,-0.3160,0.8480,-0.5370,,,
0.705,-0.5849,1.5700,0.3790,0.3620,0.5090,,,
0.710,-0.6321,0.9570,0.7690,0.6910,0.7970,,,
0.715,-0.6723,2.7000,0.3690,1.4800,0.6540,,,
0.720,-0.7057,2.8000,1.5000,1.2300,1.0600,,,
0.725,-0.7312,1.6500,3.2200,1.1700,1.3400,,,
0.730,-0.7489,1.7000,2.6200,1.5900,0.9940,,,
0.735,-0.7577,0.7150,1.4900,1.1300,0.9880,,,
0.740,-0.7557,-0.2160,2.1000,0.6710,0.9500,,,
0.745,-0.7449,0.1780,1.7800,0.7380,-0.1040,,,
0.750,-0.7233,-1.2900,1.0800,0.7250,-1.1800,,,
0.755,-0.6929,-0.6320,0.6660,0.5220,-1.0600,,,
0.760,-0.6536,0.2820,-0.3050,1.0400,-0.8740,,,
0.765,-0.6075,-2.6100,-0.0281,1.2300,-1.1800,,,
0.770,-0.5594,-2.2700,-1.7200,0.4980,-1.5100,,,
0.775,-0.5182,-1.5000,-3.8300,1.0800,-2.5600,,,
0.780,-0.4858,-2.6800,-3.4700,1.9400,-3.0900,,,
0.785,-0.4515,-2.6200,-3.9700,1.5000,-3.0100,,,
0.790,-0.4230,-0.8600,-5.3000,1.0200,-4.0800,,,
0.795,-0.4093,-1.2600,-5.0000,0.8280,-5.1500,,,
0.800,-0.4053,-2.5900,-3.8400,0.1250,-5.1300,,,
0.805,-0.4004,1.7800,-3.9400,0.3590,-5.0900,,,
0.810,-0.3965,1.5700,-2.4300,0.2570,-5.0600,,,
0.815,-0.3936,0.5120,-1.5000,-1.0300,-5.7300,,,
0.820,-0.3906,2.3100,-1.4300,-1.1900,-6.6700,,,
0.825,-0.3936,1.0900,0.7960,-1.1200,-6.3800,,,
0.830,-0.4014,4.1100,1.3900,-1.2700,-6.4600,,,
0.835,-0.4083,3.7100,0.9780,-1.8400,-7.0500,,,
0.840,-0.4220,0.2660,2.4500,-1.1200,-7.5200,,,
0.845,-0.4387,3.6300,2.7200,-0.4350,-7.2200,,,
0.850,-0.4505,4.7600,2.5900,-1.5200,-6.7100,,,
0.855,-0.4642,2.4400,3.3000,-0.6640,-7.5500,,,
0.860,-0.4760,2.4800,2.3700,-0.2270,-6.6800,,,
0.865,-0.4878,2.0800,2.4600,-0.3260,-5.4100,,,
0.870,-0.4986,1.0400,1.7600,0.1090,-5.5600,,,
0.875,-0.5035,1.3100,-0.3560,0.2580,-4.7900,,,
0.880,-0.5064,0.2860,-0.5820,0.4930,-3.4100,,,
0.885,-0.5074,-1.1400,-2.2100,0.4280,-3.1800,,,
0.890,-0.5064,-0.2060,-3.5200,1.4600,-3.0400,,,
0.895,-0.5045,-0.3120,-3.5700,1.4600,-1.1400,,,
0.900,-0.5015,-0.6340,-4.1900,1.1300,-0.2520,,,
0.905,-0.4986,0.0910,-4.4300,2.4400,-0.7410,,,
0.910,-0.4937,0.0635,-4.3900,2.2500,-0.1330,,,
0.915,-0.4829,1.5100,-4.7100,0.9030,0.8800,,,
0.920,-0.4691,3.9400,-4.6300,1.3700,0.1180,,,
0.925,-0.4564,4.6000,-3.3800,1.7000,-0.6080,,,
0.930,-0.4407,2.8000,-2.7800,0.7640,0.4220,,,
0.935,-0.4142,2.6300,-1.9700,0.3790,1.0600,,,
0.940,-0.3916,5.3900,-0.1400,-0.3240,1.0100,,,
0.945,-0.3749,6.1100,1.0500,-0.2570,-0.4990,,,
0.950,-0.3622,4.6400,2.3600,0.2600,-1.8000,,,
0.955,-0.3435,4.9900,3.9300,-0.3900,-1.7700,,,
0.960,-0.3209,5.9400,5.3700,-0.5610,-2.1300,,,
0.965,-0.3003,5.0900,6.4700,0.2300,-2.5300,,,
0.970,-0.2817,5.4100,5.8000,0.1590,-2.2800,,,
0.975,-0.2650,5.5500,6.5800,0.1610,-1.7300,,,
0.980,-0.2483,4.9000,7.5700,1.2200,-1.1300,,,
0.985,-0.2326,4.4000,6.9800,1.3400,-1.0600,,,
0.990,-0.2100,3.8400,7.2900,0.8950,-1.1800,,,
0.995,-0.1796,3.2200,7.6800,1.1200,0.0643,,,
1.000,-0.1453,2.6800,7.1100,0.7510,1.3700,,,
1.005,-0.1080,3.2400,5.7600,0.6050,1.2800,,,
1.010,-0.0658,3.1300,4.4800,1.4000,1.2800,,,
1.015,-0.0196,2.7100,2.7500,1.0800,3.6800,,,
1.020,0.0314,1.9300,1.4100,1.1900,4.6600,,,
1.025,0.0913,1.5800,0.0193,1.1600,4.9100,,,
1.030,0.1511,0.6290,-1.4700,1.0800,5.7300,,,
1.035,0.2061,-1.7900,-1.5300,1.7100,5.2200,,,
1.040,0.2670,-0.5470,-5.0800,0.8660,6.2100,,,
1.045,0.3190,-0.0661,-6.6900,0.5160,5.9600,,,
1.050,0.3680,-2.4300,-3.5600,0.9830,5.7500,,,
1.055,0.4260,-2.0900,-3.0700,1.3700,5.9100,,,
1.060,0.4731,-3.3200,-1.5700,1.5500,3.5400,,,
1.065,0.5162,-4.1200,0.1690,1.4300,2.4300,,,
1.070,0.5555,-3.1700,-0.5820,1.6600,2.8700,,,
1.075,0.5859,-4.8600,1.0800,1.2300,3.3800,,,
1.080,0.6124,-4.5300,3.0900,1.0700,3.4700,,,
1.085,0.6173,-4.4200,1.4600,1.8600,3.0900,,,
1.090,0.6173,-6.3400,2.8800,1.2800,2.9800,,,
1.095,0.6272,-4.8200,5.6800,1.1700,3.0400,,,
1.100,0.6203,-3.8000,5.4000,2.2700,2.6200,,,
1.105,0.6056,-4.7700,6.7800,2.0900,2.7300,,,
1.110,0.5791,-3.2300,7.1100,1.5700,2.2800,,,
1.115,0.5369,-2.1400,5.9600,1.6200,1.5700,,,
1.120,0.4897,-2.3500,5.9700,1.7500,2.1600,,,
1.125,0.4201,-2.6900,4.8200,0.5480,2.0800,,,
1.130,0.3415,-2.9100,5.0900,0.9270,0.8450,,,
